Time[S],Volt[V],Current[A],Power[W]
  0.0,05.1353,0.01112,00.0570
  1.0,05.1353,0.01118,00.0573
  2.0,05.1352,0.01124,00.0576
  3.0,05.1353,0.01124,00.0576
  4.0,05.1351,0.01122,00.0575
  5.0,05.1350,0.01122,00.0575
  6.0,05.1350,0.01122,00.0575
  7.0,05.1350,0.01125,00.0577
  8.0,05.1351,0.01123,00.0576
  9.0,05.1350,0.01122,00.0575
 10.0,05.1350,0.01122,00.0575
 11.0,05.1351,0.01124,00.0576
 12.0,05.1352,0.01124,00.0576
 13.0,05.1352,0.01123,00.0576
 14.0,05.1352,0.01123,00.0576
 15.0,05.1352,0.01123,00.0576
 16.0,05.1351,0.01124,00.0576
 17.0,05.1352,0.01124,00.0576
 18.0,05.1352,0.01125,00.0577
 19.0,05.1352,0.01125,00.0577
 20.0,05.1352,0.01123,00.0576
 21.0,05.1351,0.01123,00.0576
 22.0,05.1352,0.01122,00.0575
 23.0,05.1348,0.01225,00.0628
 24.0,05.1343,0.01402,00.0719
 25.0,05.1340,0.01396,00.0716
 26.0,05.1340,0.01386,00.0711
 27.0,05.1341,0.01378,00.0706
 28.0,05.1342,0.01378,00.0706
 29.0,05.1341,0.01380,00.0707
 30.0,05.1340,0.01376,00.0705
 31.0,05.1320,0.01445,00.0741
 32.0,05.1311,0.01879,00.0963
 33.0,05.1320,0.02072,00.1062
 34.0,05.1313,0.02075,00.1064
 35.0,05.1313,0.02074,00.1063
 36.0,05.1314,0.01980,00.1015
 37.0,05.1326,0.01546,00.0793
 38.0,05.1336,0.01376,00.0705
 39.0,05.1341,0.01377,00.0706
 40.0,05.1340,0.01376,00.0705
 41.0,05.1340,0.01380,00.0707
 42.0,05.1341,0.01384,00.0709
 43.0,05.1341,0.01383,00.0709
 44.0,05.1341,0.01380,00.0707
 45.0,05.1312,0.01729,00.0886
 46.0,05.1322,0.02074,00.1063
 47.0,05.1312,0.02072,00.1062
 48.0,05.1314,0.02062,00.1057
 49.0,05.1315,0.02053,00.1053
 50.0,05.1342,0.01657,00.0850
 51.0,05.1329,0.01323,00.0678
 52.0,05.1342,0.01320,00.0677
 53.0,05.1341,0.01318,00.0676
 54.0,05.1341,0.01319,00.0676
 55.0,05.1342,0.01319,00.0676
 56.0,05.1341,0.01325,00.0679
 57.0,05.1342,0.01329,00.0681
 58.0,05.1338,0.01481,00.0759
 59.0,05.1332,0.01906,00.0977
 60.0,05.1323,0.02008,00.1030
 61.0,05.1318,0.02008,00.1030
 62.0,05.1319,0.02011,00.1031
 63.0,05.1344,0.01847,00.0947
 64.0,05.1347,0.01427,00.0732
 65.0,05.1338,0.01340,00.0687
 66.0,05.1343,0.01342,00.0688
 67.0,05.1343,0.01337,00.0685
 68.0,05.1342,0.01340,00.0687
 69.0,05.1342,0.01342,00.0688
 70.0,05.1342,0.01344,00.0689
 71.0,05.1343,0.01353,00.0694
 72.0,05.1334,0.01751,00.0898
 73.0,05.1324,0.02055,00.1054
 74.0,05.1316,0.02055,00.1054
 75.0,05.1315,0.02058,00.1055
 76.0,05.1315,0.02049,00.1051
 77.0,05.1324,0.01649,00.0845
 78.0,05.1334,0.01366,00.0700
 79.0,05.1342,0.01364,00.0699
 80.0,05.1342,0.01360,00.0697
 81.0,05.1342,0.01358,00.0696
 82.0,05.1341,0.01358,00.0696
 83.0,05.1341,0.01359,00.0697
 84.0,05.1342,0.01354,00.0694
 85.0,05.1338,0.01563,00.0801
 86.0,05.1328,0.01979,00.1015
 87.0,05.1351,0.01626,00.0834
 88.0,05.1336,0.01126,00.0577
 89.0,05.1352,0.01123,00.0576
 90.0,05.1352,0.01130,00.0579
 91.0,05.1351,0.01129,00.0579
 92.0,05.1351,0.01130,00.0579
 93.0,05.1350,0.01131,00.0580
 94.0,05.1349,0.01129,00.0579
 95.0,05.1349,0.01129,00.0579
 96.0,05.1351,0.01131,00.0580
 97.0,05.1350,0.01133,00.0581
 98.0,05.1350,0.01133,00.0581
 99.0,05.1350,0.01131,00.0580
100.0,05.1351,0.01130,00.0579
